id,name,brand_id,year,fuel,price,fk_range
68,R 100 RT   (1978-1996),7,1988,2,4918,1
69,R 80 GS   (1986-1992),7,1988,2,9918,1
70,F 650   (1984-1996),7,1989,2,5610,2
71,K 1   (1989-1994),7,1989,2,10143,2
72,K 100   (1983-1994),7,1989,2,4401,1
73,K 100 LT   (1986-1994),7,1989,2,2617,3
74,K 100 RS   (1984-1994),7,1989,2,4095,3
75,K 100 RS ABS   (1988-1993),7,1989,2,1999,3
76,K 100 RS Baviera   (1989),7,1989,2,6949,2
77,K 100 RT   (1984-1993),7,1989,2,8451,4
78,K 75   (1984-1996),7,1989,2,5140,1
79,K 75 C   (1988-1989),7,1989,2,2005,4
80,K 75 RT   (1986-1994),7,1989,2,8323,3
81,K 75 S   (1987-1996),7,1989,2,7606,1
82,K 750   (1986-1999),7,1989,2,8687,3
83,R 100 GS   (1988-1993),7,1989,2,2301,4
84,R 100 GS PARIS DAKAR   (1989-1995),7,1989,2,8893,4
85,R 100 RS   (1987-1995),7,1989,2,8571,1
86,R 100 RT   (1978-1996),7,1989,2,4666,1
87,R 80 GS   (1986-1992),7,1989,2,2936,1
88,F 650   (1984-1996),7,1990,2,3459,2
89,K 1   (1989-1994),7,1990,2,9485,2
90,K 100   (1983-1994),7,1990,2,2904,1
91,K 100 LT   (1986-1994),7,1990,2,4394,3
92,K 100 LT ABS   (1990-1992),7,1990,2,7562,2
93,K 100 RS   (1984-1994),7,1990,2,7927,3
94,K 100 RS ABS   (1988-1993),7,1990,2,7073,3
95,K 100 RT   (1984-1993),7,1990,2,10636,4
96,K 75   (1984-1996),7,1990,2,3727,1
97,K 75 RT   (1986-1994),7,1990,2,2753,3
98,K 75 S   (1987-1996),7,1990,2,7196,1
99,K 750   (1986-1999),7,1990,2,4606,3
100,R 100 GS   (1988-1993),7,1990,2,2137,4
101,R 100 GS PARIS DAKAR   (1989-1995),7,1990,2,7059,4
102,R 100 RS   (1987-1995),7,1990,2,4078,1
103,R 100 RT   (1978-1996),7,1990,2,9393,1
104,R 80 GS   (1986-1992),7,1990,2,5901,1
105,F 650   (1984-1996),7,1991,2,5002,2
106,K 1   (1989-1994),7,1991,2,6051,2
107,K 100   (1983-1994),7,1991,2,7634,1
108,K 100 Baviera   (1991),7,1991,2,9996,4
109,K 100 LT   (1986-1994),7,1991,2,4528,3
110,K 100 LT ABS   (1990-1992),7,1991,2,5955,2
111,K 100 LT Limited Edition   (1991-1994),7,1991,2,9729,1
112,K 100 RS   (1984-1994),7,1991,2,10778,3
113,K 100 RS ABS   (1988-1993),7,1991,2,2571,3
114,K 100 RT   (1984-1993),7,1991,2,3790,4
115,K 75   (1984-1996),7,1991,2,4618,1
116,K 75 RT   (1986-1994),7,1991,2,3984,3
117,K 75 S   (1987-1996),7,1991,2,3810,1
118,K 75 S ABS   (1991-1994),7,1991,2,3311,1
119,K 750   (1986-1999),7,1991,2,5041,3
120,R 100 GS   (1988-1993),7,1991,2,7005,4
121,R 100 GS PARIS DAKAR   (1989-1995),7,1991,2,7955,4
122,R 100 RS   (1987-1995),7,1991,2,8317,1
123,R 100 RT   (1978-1996),7,1991,2,1644,1
124,R 80 GS   (1986-1992),7,1991,2,9857,1
125,F 650   (1984-1996),7,1992,2,1946,2
126,K 1   (1989-1994),7,1992,2,6903,2
127,K 100   (1983-1994),7,1992,2,10528,1
128,K 100 LT   (1986-1994),7,1992,2,5204,3
129,K 100 LT ABS   (1990-1992),7,1992,2,3717,2
130,K 100 LT Limited Edition   (1991-1994),7,1992,2,8558,1
131,K 100 RS   (1984-1994),7,1992,2,9944,3
132,K 100 RS ABS   (1988-1993),7,1992,2,10208,3
133,K 100 RT   (1984-1993),7,1992,2,10099,4
134,K 75   (1984-1996),7,1992,2,6166,1
135,K 75 Metropolitan   (1992-1993),7,1992,2,8913,2
136,K 75 Metropolitan ABS   (1992-1995),7,1992,2,7297,1
137,K 75 RT   (1986-1994),7,1992,2,4991,3
138,K 75 RT ABS   (1992-1993),7,1992,2,6643,3
139,K 75 S   (1987-1996),7,1992,2,3708,1
140,K 75 S ABS   (1991-1994),7,1992,2,3431,1
141,K 750   (1986-1999),7,1992,2,5008,3
142,R 100 GS   (1988-1993),7,1992,2,4455,4
143,R 100 GS PARIS DAKAR   (1989-1995),7,1992,2,7810,4
144,R 100 R   (1992-1999),7,1992,2,9074,1
145,R 100 RS   (1987-1995),7,1992,2,9911,1
146,R 100 RT   (1978-1996),7,1992,2,9524,1
147,R 1100 RT   (1992-1996),7,1992,2,6839,2
148,R 80 GS   (1986-1992),7,1992,2,7761,1
149,R 80 R   (1992-1996),7,1992,2,2444,4
150,R 80 RT   (1992),7,1992,2,3341,1
151,F 650   (1984-1996),7,1993,2,4563,2
152,F 650 ST   (1993),7,1993,2,3146,1
153,K 1   (1989-1994),7,1993,2,10632,2
154,K 100   (1983-1994),7,1993,2,4139,1
155,K 100 LT   (1986-1994),7,1993,2,2326,3
156,K 100 LT Limited Edition   (1991-1994),7,1993,2,4507,1
157,K 100 RS   (1984-1994),7,1993,2,10583,3
158,K 100 RS ABS   (1988-1993),7,1993,2,2680,3
159,K 100 RT   (1984-1993),7,1993,2,4408,4
160,K 1100 RS   (1993-1998),7,1993,2,6448,4
161,K 75   (1984-1996),7,1993,2,5827,1
162,K 75 Metropolitan   (1992-1993),7,1993,2,2977,2
163,K 75 Metropolitan ABS   (1992-1995),7,1993,2,5593,1
164,K 75 RT   (1986-1994),7,1993,2,2374,3
165,K 75 RT ABS   (1992-1993),7,1993,2,1805,3
166,K 75 S   (1987-1996),7,1993,2,7106,1
167,K 75 S ABS   (1991-1994),7,1993,2,7513,1
168,K 750   (1986-1999),7,1993,2,10861,3
169,R 100 GS   (1988-1993),7,1993,2,10308,4
170,R 100 GS PARIS DAKAR   (1989-1995),7,1993,2,5883,4
171,R 100 R   (1992-1999),7,1993,2,2702,1
172,R 100 RS   (1987-1995),7,1993,2,6262,1
173,R 100 RT   (1978-1996),7,1993,2,10195,1
174,R 1100 GS   (1993-1996),7,1993,2,6101,1
175,R 1100 RS   (1993-1995),7,1993,2,10221,4
176,R 1100 RS   (1993-1996),7,1993,2,7892,3
177,R 1100 RT   (1992-1996),7,1993,2,9155,2
178,R 80 R   (1992-1996),7,1993,2,5813,4
179,F 650   (1984-1996),7,1994,2,5205,2
180,K 1   (1989-1994),7,1994,2,9505,2
181,K 100   (1983-1994),7,1994,2,9597,1
182,K 100 LT   (1986-1994),7,1994,2,9301,3
183,K 100 LT Limited Edition   (1991-1994),7,1994,2,4698,1
184,K 100 RS   (1984-1994),7,1994,2,4128,3
185,K 1100 LT SE   (1994-1996),7,1994,2,3927,1
186,K 1100 RS   (1993-1998),7,1994,2,1801,4
187,K 75   (1984-1996),7,1994,2,2179,1
188,K 75 ABS   (1994-1996),7,1994,2,10851,3
189,K 75 Metropolitan ABS   (1992-1995),7,1994,2,6292,1
190,K 75 RT   (1986-1994),7,1994,2,5787,3
191,K 75 S   (1987-1996),7,1994,2,3715,1
192,K 75 S ABS   (1991-1994),7,1994,2,2364,1
193,K 750   (1986-1999),7,1994,2,6265,3
194,R 100 GS PARIS DAKAR   (1989-1995),7,1994,2,8373,4
195,R 100 R   (1992-1999),7,1994,2,6116,1
196,R 100 R Mystic   (1994-1996),7,1994,2,8949,4
197,R 100 RS   (1987-1995),7,1994,2,7931,1
198,R 100 RT   (1978-1996),7,1994,2,2224,1
199,R 1100 GS   (1993-1996),7,1994,2,6871,1
200,R 1100 RS   (1993-1995),7,1994,2,7937,4
201,R 1100 RS   (1993-1996),7,1994,2,8838,3
202,R 1100 RT   (1992-1996),7,1994,2,10298,2
203,R 1150 RS   (1994),7,1994,2,1788,2
204,R 80 R   (1992-1996),7,1994,2,4719,4
205,F 650   (1984-1996),7,1995,2,8528,2
206,K 1100 LT SE   (1994-1996),7,1995,2,6390,1
207,K 1100 RS   (1993-1998),7,1995,2,7809,4
208,K 75   (1984-1996),7,1995,2,2827,1
209,K 75 ABS   (1994-1996),7,1995,2,6787,3
210,K 75 LT   (1995),7,1995,2,9117,4
211,K 75 Metropolitan ABS   (1992-1995),7,1995,2,2582,1
212,K 75 S   (1987-1996),7,1995,2,8340,1
213,K 750   (1986-1999),7,1995,2,5859,3
214,R 100 GS PARIS DAKAR   (1989-1995),7,1995,2,4843,4
215,R 100 R   (1992-1999),7,1995,2,10786,1
216,R 100 R Mystic   (1994-1996),7,1995,2,5561,4
217,R 100 RS   (1987-1995),7,1995,2,6949,1
218,R 100 RT   (1978-1996),7,1995,2,2161,1
219,R 1100 GS   (1993-1996),7,1995,2,10443,1
220,R 1100 RS   (1993-1995),7,1995,2,7048,4
221,R 1100 RS   (1993-1996),7,1995,2,7259,3
222,R 1100 RS   (1995-1997),7,1995,2,9245,3
223,R 1100 RT   (1992-1996),7,1995,2,6905,2
224,R 80 R   (1992-1996),7,1995,2,4827,4
225,R 850   (1995),7,1995,2,8293,1
226,F 650   (1984-1996),7,1996,2,8871,2
227,F 650 G   (1996),7,1996,2,2678,1
228,K 1100 LT SE   (1994-1996),7,1996,2,2099,1
229,K 1100 RS   (1993-1998),7,1996,2,1781,4
230,K 75   (1984-1996),7,1996,2,10665,1
231,K 75 ABS   (1994-1996),7,1996,2,2861,3
232,K 75 S   (1987-1996),7,1996,2,1521,1
233,K 750   (1986-1999),7,1996,2,3613,3
234,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1996,2,1665,3
235,R 100 R   (1992-1999),7,1996,2,10221,1
236,R 100 R Mystic   (1994-1996),7,1996,2,7591,4
237,R 100 RT   (1978-1996),7,1996,2,9364,1
238,R 1100 GS   (1993-1996),7,1996,2,2049,1
239,R 1100 RS   (1993-1996),7,1996,2,4206,3
240,R 1100 RS   (1995-1997),7,1996,2,2669,3
241,R 1100 RT   (1992-1996),7,1996,2,6638,2
242,R 1100 RT   (1996-2002),7,1996,2,6228,4
243,R 80 R   (1992-1996),7,1996,2,2795,4
244,R 850 R   (1996),7,1996,2,4322,4
245,F 650   (1997-2008),7,1997,2,10033,3
246,F 650 FL   (1997-2008),7,1997,2,3940,3
247,F 650 ST   (1997-2001),7,1997,2,5406,2
248,K 1100 LT   (1997-1999),7,1997,2,6333,3
249,K 1100 LT High Line   (1997-1999),7,1997,2,7286,3
250,K 1100 LT Sidecar   (1997-1999),7,1997,2,8651,1
251,K 1100 RS   (1993-1998),7,1997,2,5500,4
252,K 750   (1986-1999),7,1997,2,2058,3
253,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1997,2,5336,3
254,R 100 R   (1992-1999),7,1997,2,7987,1
255,R 1100 GS   (1997-1999),7,1997,2,7836,1
256,R 1100 R   (1997-2008),7,1997,2,10654,1
257,R 1100 RS   (1995-1997),7,1997,2,9400,3
258,R 1100 RS   (1997-2008),7,1997,2,9595,4
259,R 1100 RT   (1996-2002),7,1997,2,7350,4
260,R 1200 C Independent   (1997-2000),7,1997,2,3912,4
261,R 1200 RT   (1997-2004),7,1997,2,7574,2
262,R 1200 S   (1997-2006),7,1997,2,3277,3
263,R 850 R   (1997-2002),7,1997,2,7350,1
264,F 650   (1997-2008),7,1998,2,5712,3
265,F 650 FL   (1997-2008),7,1998,2,7322,3
266,F 650 ST   (1997-2001),7,1998,2,5249,2
267,K 1100 LT   (1997-1999),7,1998,2,5654,3
268,K 1100 LT High Line   (1997-1999),7,1998,2,3055,3
269,K 1100 LT Sidecar   (1997-1999),7,1998,2,5004,1
270,K 1100 RS   (1993-1998),7,1998,2,2573,4
271,K 750   (1986-1999),7,1998,2,2640,3
272,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1998,2,10765,3
273,R 100 R   (1992-1999),7,1998,2,2728,1
274,R 1100 GS   (1997-1999),7,1998,2,7733,1
275,R 1100 R   (1997-2008),7,1998,2,6331,1
276,R 1100 RS   (1997-2008),7,1998,2,6181,4
277,R 1100 RT   (1996-2002),7,1998,2,10544,4
278,R 1100 S   (1998-2007),7,1998,2,8619,3
279,R 1200 C Classic   (1998-2004),7,1998,2,3814,3
280,R 1200 C Independent   (1997-2000),7,1998,2,7795,4
281,R 1200 LT   (1998-2004),7,1998,2,10670,3
282,R 1200 RT   (1997-2004),7,1998,2,9283,2
283,R 1200 S   (1997-2006),7,1998,2,2315,3
284,R 850 R   (1997-2002),7,1998,2,1990,1
285,F 650   (1997-2008),7,1999,2,6088,3
286,F 650 FL   (1997-2008),7,1999,2,2835,3
287,F 650 ST   (1997-2001),7,1999,2,4943,2
288,K 1100 LT   (1997-1999),7,1999,2,7030,3
289,K 1100 LT High Line   (1997-1999),7,1999,2,4779,3
290,K 1100 LT Sidecar   (1997-1999),7,1999,2,4501,1
291,K 1200 LT   (1999-2009),7,1999,2,6150,2
292,K 1200 RS   (1999-2009),7,1999,2,4504,2
293,K 750   (1986-1999),7,1999,2,8345,3
294,R 100 R   (1992-1999),7,1999,2,5382,1
295,R 1100 GS   (1997-1999),7,1999,2,10212,1
296,R 1100 R   (1997-2008),7,1999,2,7801,1
297,R 1100 RS   (1997-2008),7,1999,2,10573,4
298,R 1100 RT   (1996-2002),7,1999,2,5766,4
299,R 1100 S   (1998-2007),7,1999,2,4651,3
300,R 1200 C Classic   (1998-2004),7,1999,2,2215,3
301,R 1200 C Independent   (1997-2000),7,1999,2,9191,4
302,R 1200 LT   (1998-2004),7,1999,2,8837,3
303,R 1200 RT   (1997-2004),7,1999,2,5398,2
304,R 1200 S   (1997-2006),7,1999,2,8185,3
305,R 850 C Classic   (1999-2001),7,1999,2,8813,2
306,R 850 GS   (1999-2002),7,1999,2,7421,3
307,R 850 R   (1997-2002),7,1999,2,2662,1
308,C1 125   (2000-2003),7,2000,2,3475,3
309,C1 125 Executive   (2000-2003),7,2000,2,7778,4
310,C1 125 Family's Friend   (2000-2003),7,2000,2,10966,2
311,F 650   (1997-2008),7,2000,2,4470,3
312,F 650 FL   (1997-2008),7,2000,2,6438,3
313,F 650 ST   (1997-2001),7,2000,2,9787,2
314,F 650 ST Strada   (2000-2002),7,2000,2,8271,2
315,K 1200 LT   (1999-2009),7,2000,2,8443,2
316,K 1200 RS   (1999-2009),7,2000,2,8536,2
317,R 1100 R   (1997-2008),7,2000,2,5186,1
318,R 1100 RS   (1997-2008),7,2000,2,2442,4
319,R 1100 RT   (1996-2002),7,2000,2,6433,4
320,R 1100 S   (1998-2007),7,2000,2,9619,3
321,R 1150 GS   (2000-2006),7,2000,2,10876,4
322,R 1200 C   (2000-2007),7,2000,2,4527,4
323,R 1200 C Classic   (1998-2004),7,2000,2,6090,3
324,R 1200 C Independent   (1997-2000),7,2000,2,8414,4
325,R 1200 C Independent   (2000-2004),7,2000,2,5144,3
326,R 1200 LT   (1998-2004),7,2000,2,8698,3
327,R 1200 RT   (1997-2004),7,2000,2,9807,2
328,R 1200 S   (1997-2006),7,2000,2,2234,3
329,R 850 C   (2000-2007),7,2000,2,4680,2
330,R 850 C Classic   (1999-2001),7,2000,2,10349,2
331,R 850 GS   (1999-2002),7,2000,2,5125,3
332,R 850 R   (1997-2002),7,2000,2,3129,1
333,R 850 RT   (2000-2003),7,2000,2,5845,3
334,C1 125   (2000-2003),7,2001,2,1546,3
335,C1 125 Executive   (2000-2003),7,2001,2,2198,4
336,C1 125 Family's Friend   (2000-2003),7,2001,2,9970,2
337,C1 200 BÃ¡sico   (2001-2003),7,2001,2,5882,2
338,C1 200 Executive   (2001-2003),7,2001,2,4352,1
339,C1 200 Family's Friend   (2001-2003),7,2001,2,1950,1
340,F 650   (1997-2008),7,2001,2,2914,3
341,F 650 FL   (1997-2008),7,2001,2,10581,3
342,F 650 ST   (1997-2001),7,2001,2,6149,2
343,F 650 ST Strada   (2000-2002),7,2001,2,10406,2
344,K 1200 LT   (1999-2009),7,2001,2,3834,2
345,K 1200 RS   (1999-2009),7,2001,2,9969,2
346,R 1100 R   (1997-2008),7,2001,2,7517,1
347,R 1100 RS   (1997-2008),7,2001,2,6348,4
348,R 1100 RT   (1996-2002),7,2001,2,6759,4
349,R 1100 S   (1998-2007),7,2001,2,10421,3
350,R 1150 GS   (2000-2006),7,2001,2,8939,4
351,R 1150 R   (2001-2007),7,2001,2,7765,2
352,R 1150 RT   (2001-2006),7,2001,2,5121,3
353,R 1200 C   (2000-2007),7,2001,2,9275,4
354,R 1200 C Classic   (1998-2004),7,2001,2,7282,3
355,R 1200 C Independent   (2000-2004),7,2001,2,9972,3
356,R 1200 LT   (1998-2004),7,2001,2,5036,3
357,R 1200 RT   (1997-2004),7,2001,2,4289,2
358,R 1200 S   (1997-2006),7,2001,2,10656,3
359,R 850 C   (2000-2007),7,2001,2,2677,2
360,R 850 C Classic   (1999-2001),7,2001,2,6213,2
361,R 850 GS   (1999-2002),7,2001,2,6706,3
362,R 850 R   (1997-2002),7,2001,2,6747,1
363,R 850 RT   (2000-2003),7,2001,2,4968,3
364,C1 125   (2000-2003),7,2002,2,3550,3
365,C1 125 Executive   (2000-2003),7,2002,2,2783,4
366,C1 125 Family's Friend   (2000-2003),7,2002,2,10772,2
367,C1 200 BÃ¡sico   (2001-2003),7,2002,2,9217,2
368,C1 200 Executive   (2001-2003),7,2002,2,9188,1
369,C1 200 Family's Friend   (2001-2003),7,2002,2,2351,1
370,F 650   (1997-2008),7,2002,2,6863,3
371,F 650 CS Scarver   (2002-2007),7,2002,2,6366,2
372,F 650 FL   (1997-2008),7,2002,2,10087,3
373,F 650 ST Strada   (2000-2002),7,2002,2,10688,2
374,K 1200 LT   (1999-2009),7,2002,2,2219,2
375,K 1200 RS   (1999-2009),7,2002,2,2688,2
376,R 1100 R   (1997-2008),7,2002,2,10081,1
377,R 1100 RS   (1997-2008),7,2002,2,2528,4
378,R 1100 RT   (1996-2002),7,2002,2,9217,4
379,R 1100 S   (1998-2007),7,2002,2,4777,3
380,R 1150 GS   (2000-2006),7,2002,2,3987,4
381,R 1150 R   (2001-2007),7,2002,2,9564,2
382,R 1150 RS   (2002-2006),7,2002,2,1542,4
383,R 1150 RT   (2001-2006),7,2002,2,3158,3
384,R 1200 C   (2000-2007),7,2002,2,2524,4
385,R 1200 C Classic   (1998-2004),7,2002,2,5644,3
386,R 1200 C Independent   (2000-2004),7,2002,2,8052,3
387,R 1200 CL   (2002-2004),7,2002,2,9171,1
388,R 1200 LT   (1998-2004),7,2002,2,10335,3
389,R 1200 RT   (1997-2004),7,2002,2,3895,2
390,R 1200 S   (1997-2006),7,2002,2,5367,3
391,R 850 C   (2000-2007),7,2002,2,3711,2
392,R 850 GS   (1999-2002),7,2002,2,4677,3
393,R 850 R   (1997-2002),7,2002,2,6024,1
394,R 850 R   (2002-2009),7,2002,2,2018,1
395,R 850 RT   (2000-2003),7,2002,2,6615,3
396,C1 125   (2000-2003),7,2003,2,10145,3
397,C1 125 Executive   (2000-2003),7,2003,2,5166,4
398,C1 125 Family's Friend   (2000-2003),7,2003,2,5319,2
399,C1 200 BÃ¡sico   (2001-2003),7,2003,2,2011,2
400,C1 200 Executive   (2001-2003),7,2003,2,3565,1
401,C1 200 Family's Friend   (2001-2003),7,2003,2,2716,1
402,F 650   (1997-2008),7,2003,2,4250,3
403,F 650 CS   (2003-2005),7,2003,2,1788,1
404,F 650 CS Scarver   (2002-2007),7,2003,2,8856,2
405,F 650 FL   (1997-2008),7,2003,2,6312,3
406,K 1200 GT   (2003-2009),7,2003,2,2923,4
407,K 1200 LT   (1999-2009),7,2003,2,3719,2
408,K 1200 RS   (1999-2009),7,2003,2,7501,2
409,R 1100 R   (1997-2008),7,2003,2,4483,1
410,R 1100 RS   (1997-2008),7,2003,2,6324,4
411,R 1100 S   (1998-2007),7,2003,2,2448,3
412,R 1150 GS   (2000-2006),7,2003,2,10549,4
413,R 1150 R   (2001-2007),7,2003,2,2841,2
414,R 1150 RS   (2002-2006),7,2003,2,8370,4
415,R 1150 RT   (2001-2006),7,2003,2,7378,3
416,R 1200 C   (2000-2007),7,2003,2,7798,4
417,R 1200 C Classic   (1998-2004),7,2003,2,9020,3
418,R 1200 C Independent   (2000-2004),7,2003,2,9346,3
419,R 1200 CL   (2002-2004),7,2003,2,8681,1
420,R 1200 LT   (1998-2004),7,2003,2,4103,3
421,R 1200 RT   (1997-2004),7,2003,2,3469,2
422,R 1200 S   (1997-2006),7,2003,2,6980,3
423,R 850 C   (2000-2007),7,2003,2,6524,2
424,R 850 R   (2002-2009),7,2003,2,9905,1
425,R 850 RT   (2000-2003),7,2003,2,8139,3
426,F 650   (1997-2008),7,2004,2,3959,3
427,F 650 CS   (2003-2005),7,2004,2,2791,1
428,F 650 CS Scarver   (2002-2007),7,2004,2,10943,2
429,F 650 FL   (1997-2008),7,2004,2,8434,3
430,F 650 GS   (2004-2007),7,2004,2,5675,4
431,F 650 GS Dakar   (2004-2009),7,2004,2,3605,1
432,K 1200 GT   (2003-2009),7,2004,2,4932,4
433,K 1200 LT   (1999-2009),7,2004,2,3401,2
434,K 1200 RS   (1999-2009),7,2004,2,5874,2
435,R 1100 R   (1997-2008),7,2004,2,3117,1
436,R 1100 RS   (1997-2008),7,2004,2,9660,4
437,R 1100 S   (1998-2007),7,2004,2,3662,3
438,R 1150 Boxer Cup   (2004-2005),7,2004,2,6300,2
439,R 1150 GS   (2000-2006),7,2004,2,7136,4
440,R 1150 GS Adventure   (2004-2006),7,2004,2,2849,4
441,R 1150 R   (2001-2007),7,2004,2,7913,2
442,R 1150 R Rockster   (2004-2008),7,2004,2,3635,3
443,R 1150 RS   (2002-2006),7,2004,2,1802,4
444,R 1150 RT   (2001-2006),7,2004,2,5108,3
445,R 1200 C   (2000-2007),7,2004,2,9761,4
446,R 1200 C Classic   (1998-2004),7,2004,2,5216,3
447,R 1200 C Independent   (2000-2004),7,2004,2,7053,3
448,R 1200 C Montauk   (2004-2008),7,2004,2,2784,2
449,R 1200 CL   (2002-2004),7,2004,2,2668,1
450,R 1200 GS   (2004-2007),7,2004,2,5251,3
451,R 1200 LT   (1998-2004),7,2004,2,3648,3
452,R 1200 RT   (1997-2004),7,2004,2,5003,2
453,R 1200 S   (1997-2006),7,2004,2,3283,3
454,R 850 C   (2000-2007),7,2004,2,5688,2
455,R 850 R   (2002-2009),7,2004,2,2804,1
456,F 650   (1997-2008),7,2005,2,3010,3
457,F 650 CS   (2003-2005),7,2005,2,9523,1
458,F 650 CS Scarver   (2002-2007),7,2005,2,7029,2
459,F 650 FL   (1997-2008),7,2005,2,5198,3
460,F 650 GS   (2004-2007),7,2005,2,10750,4
461,F 650 GS Dakar   (2004-2009),7,2005,2,5966,1
462,K 1200 GT   (2003-2009),7,2005,2,7299,4
463,K 1200 LT   (1999-2009),7,2005,2,9477,2
464,K 1200 R   (2005-2009),7,2005,2,7738,2
465,K 1200 RS   (1999-2009),7,2005,2,1557,2
466,K 1200 S   (2005-2009),7,2005,2,9951,3
467,R 1100 R   (1997-2008),7,2005,2,5975,1
468,R 1100 RS   (1997-2008),7,2005,2,9987,4
469,R 1100 S   (1998-2007),7,2005,2,10623,3
470,R 1150 Boxer Cup   (2004-2005),7,2005,2,4791,2
471,R 1150 GS   (2000-2006),7,2005,2,7044,4
472,R 1150 GS Adventure   (2004-2006),7,2005,2,1774,4
473,R 1150 R   (2001-2007),7,2005,2,5212,2
474,R 1150 R Rockster   (2004-2008),7,2005,2,7737,3
475,R 1150 RS   (2002-2006),7,2005,2,1554,4
476,R 1150 RT   (2001-2006),7,2005,2,3356,3
477,R 1200 C   (2000-2007),7,2005,2,7555,4
478,R 1200 C Montauk   (2004-2008),7,2005,2,7037,2
479,R 1200 GS   (2004-2007),7,2005,2,7769,3
480,R 1200 RS   (2005-2008),7,2005,2,9018,1
481,R 1200 RT 110cv   (2005-2009),7,2005,2,6257,3
482,R 1200 RT 98cv   (2005-2009),7,2005,2,2340,1
483,R 1200 S   (1997-2006),7,2005,2,7154,3
484,R 1200 ST   (2005-2010),7,2005,2,3146,2
485,R 850 C   (2000-2007),7,2005,2,7802,2
486,R 850 R   (2002-2009),7,2005,2,3637,1
487,F 650   (1997-2008),7,2006,2,8377,3
